Years.Initial,Years.Prolonged,Life.Total,No.Reg.TOC,No.Reg.OC.Yearly,Regeneration.Costs,"Regener. 
costs [€]",Regener. cost yearly,Ownership costs total,Ownership costs yearly...10,"Diff 
[€/year]","Diff 
[%/year]",Savings.Lifetime
7,4,11,186,26.571428571428573,5,10,2.5,196,17.818181818181817,8.753246753246756,0.329423264907136,96.28571428571432
8,4,12,186,23.25,5,10,2.5,196,16.333333333333332,6.916666666666668,0.29749103942652333,83.00000000000001
9,4,13,186,20.666666666666668,5,10,2.5,196,15.076923076923077,5.589743589743591,0.2704714640198512,72.66666666666669
10,4,14,186,18.6,5,10,2.5,196,14,4.600000000000001,0.24731182795698925,64.40000000000002
5,5,10,186,37.2,5,10,2,196,19.6,17.6,0.4731182795698925,176
6,5,11,186,31,5,10,2,196,17.818181818181817,13.181818181818183,0.4252199413489737,145.00000000000003
7,5,12,186,26.571428571428573,5,10,2,196,16.333333333333332,10.23809523809524,0.3853046594982079,122.85714285714289
8,5,13,186,23.25,5,10,2,196,15.076923076923077,8.173076923076923,0.35153019023986765,106.25
9,5,14,186,20.666666666666668,5,10,2,196,14,6.666666666666668,0.32258064516129037,93.33333333333334
10,5,15,186,18.6,5,10,2,196,13.066666666666666,5.533333333333335,0.29749103942652333,83.00000000000003
5,1,6,186,37.2,7.5,15,15,201,33.5,3.700000000000003,0.09946236559139787,22.200000000000017
6,1,7,186,31,7.5,15,15,201,28.714285714285715,2.2857142857142847,0.07373271889400923,15.999999999999993
7,1,8,186,26.571428571428573,7.5,15,15,201,25.125,1.446428571428573,0.05443548387096775,11.571428571428584
8,1,9,186,23.25,7.5,15,15,201,22.333333333333332,0.9166666666666679,0.03942652329749108,8.25000000000001
9,1,10,186,20.666666666666668,7.5,15,15,201,20.1,0.5666666666666664,0.02741935483870972,5.666666666666664
10,1,11,186,18.6,7.5,15,15,201,18.272727272727273,0.32727272727272805,0.01759530791788866,3.6000000000000085
5,2,7,186,37.2,7.5,15,7.5,201,28.714285714285715,8.485714285714288,0.22811059907834108,59.40000000000001
6,2,8,186,31,7.5,15,7.5,201,25.125,5.875,0.18951612903225812,47
7,2,9,186,26.571428571428573,7.5,15,7.5,201,22.333333333333332,4.238095238095241,0.15949820788530478,38.14285714285717
8,2,10,186,23.25,7.5,15,7.5,201,20.1,3.1499999999999986,0.13548387096774184,31.499999999999986
9,2,11,186,20.666666666666668,7.5,15,7.5,201,18.272727272727273,2.3939393939393945,0.11583577712609971,26.33333333333334
10,2,12,186,18.6,7.5,15,7.5,201,16.75,1.8500000000000014,0.09946236559139787,22.200000000000017
5,3,8,186,37.2,7.5,15,5,201,25.125,12.075000000000003,0.3245967741935485,96.60000000000002
6,3,9,186,31,7.5,15,5,201,22.333333333333332,8.666666666666668,0.27956989247311836,78.00000000000001
7,3,10,186,26.571428571428573,7.5,15,5,201,20.1,6.4714285714285715,0.24354838709677418,64.71428571428572
8,3,11,186,23.25,7.5,15,5,201,18.272727272727273,4.977272727272727,0.21407624633431077,54.74999999999999
9,3,12,186,20.666666666666668,7.5,15,5,201,16.75,3.916666666666668,0.18951612903225812,47.000000000000014
10,3,13,186,18.6,7.5,15,5,201,15.461538461538462,3.1384615384615397,0.16873449131513651,40.80000000000002
5,4,9,186,37.2,7.5,15,3.75,201,22.333333333333332,14.86666666666667,0.39964157706093195,133.80000000000004
6,4,10,186,31,7.5,15,3.75,201,20.1,10.899999999999999,0.3516129032258064,108.99999999999999
7,4,11,186,26.571428571428573,7.5,15,3.75,201,18.272727272727273,8.2987012987013,0.31231671554252205,91.28571428571429
8,4,12,186,23.25,7.5,15,3.75,201,16.75,6.5,0.27956989247311825,78
9,4,13,186,20.666666666666668,7.5,15,3.75,201,15.461538461538462,5.205128205128206,0.2518610421836228,67.66666666666669
10,4,14,186,18.6,7.5,15,3.75,201,14.357142857142858,4.242857142857144,0.22811059907834108,59.40000000000001
5,5,10,186,37.2,7.5,15,3,201,20.1,17.1,0.45967741935483875,171
6,5,11,186,31,7.5,15,3,201,18.272727272727273,12.727272727272727,0.4105571847507331,140
7,5,12,186,26.571428571428573,7.5,15,3,201,16.75,9.821428571428573,0.3696236559139785,117.85714285714288
8,5,13,186,23.25,7.5,15,3,201,15.461538461538462,7.788461538461538,0.3349875930521091,101.25
9,5,14,186,20.666666666666668,7.5,15,3,201,14.357142857142858,6.30952380952381,0.3052995391705069,88.33333333333334
10,5,15,186,18.6,7.5,15,3,201,13.4,5.200000000000001,0.27956989247311836,78.00000000000001
5,1,6,186,37.2,10,20,20,206,34.333333333333336,2.866666666666667,0.07706093189964158,17.200000000000003
6,1,7,186,31,10,20,20,206,29.428571428571427,1.571428571428573,0.05069124423963134,11.00000000000001
7,1,8,186,26.571428571428573,10,20,20,206,25.75,0.821428571428573,0.03091397849462374,6.571428571428584
8,1,9,186,23.25,10,20,20,206,22.88888888888889,0.3611111111111107,0.015531660692950977,3.2499999999999964
9,1,10,186,20.666666666666668,10,20,20,206,20.6,0.06666666666666643,0.003225806451612856,0.6666666666666643
10,1,11,186,18.6,10,20,20,206,18.727272727272727,-0.1272727272727252,-0.006842619745845546,-1.3999999999999773
5,2,7,186,37.2,10,20,10,206,29.428571428571427,7.771428571428576,0.2089093701996929,54.400000000000034
6,2,8,186,31,10,20,10,206,25.75,5.25,0.16935483870967738,42
7,2,9,186,26.571428571428573,10,20,10,206,22.88888888888889,3.6825396825396837,0.1385902031063322,33.14285714285715
8,2,10,186,23.25,10,20,10,206,20.6,2.6499999999999986,0.11397849462365583,26.499999999999986
9,2,11,186,20.666666666666668,10,20,10,206,18.727272727272727,1.9393939393939412,0.09384164222873903,21.333333333333353
10,2,12,186,18.6,10,20,10,206,17.166666666666668,1.4333333333333336,0.07706093189964158,17.200000000000003
5,3,8,186,37.2,10,20,6.666666666666667,206,25.75,11.450000000000003,0.30779569892473124,91.60000000000002
6,3,9,186,31,10,20,6.666666666666667,206,22.88888888888889,8.11111111111111,0.2616487455197133,73
7,3,10,186,26.571428571428573,10,20,6.666666666666667,206,20.6,5.9714285714285715,0.22473118279569892,59.714285714285715
8,3,11,186,23.25,10,20,6.666666666666667,206,18.727272727272727,4.522727272727273,0.1945259042033236,49.75000000000001
9,3,12,186,20.666666666666668,10,20,6.666666666666667,206,17.166666666666668,3.5,0.16935483870967738,42
10,3,13,186,18.6,10,20,6.666666666666667,206,15.846153846153847,2.7538461538461547,0.14805624483043844,35.80000000000001
5,4,9,186,37.2,10,20,5,206,22.88888888888889,14.311111111111114,0.3847072879330944,128.8
6,4,10,186,31,10,20,5,206,20.6,10.399999999999999,0.3354838709677419,103.99999999999999
7,4,11,186,26.571428571428573,10,20,5,206,18.727272727272727,7.844155844155846,0.2952101661779082,86.2857142857143
8,4,12,186,23.25,10,20,5,206,17.166666666666668,6.083333333333332,0.2616487455197132,72.99999999999999
9,4,13,186,20.666666666666668,10,20,5,206,15.846153846153847,4.820512820512821,0.23325062034739452,62.66666666666667
10,4,14,186,18.6,10,20,5,206,14.714285714285714,3.885714285714288,0.2089093701996929,54.400000000000034
5,5,10,186,37.2,10,20,4,206,20.6,16.6,0.446236559139785,166
6,5,11,186,31,10,20,4,206,18.727272727272727,12.272727272727273,0.39589442815249265,135
7,5,12,186,26.571428571428573,10,20,4,206,17.166666666666668,9.404761904761905,0.3539426523297491,112.85714285714286
8,5,13,186,23.25,10,20,4,206,15.846153846153847,7.403846153846153,0.3184449958643507,96.25
9,5,14,186,20.666666666666668,10,20,4,206,14.714285714285714,5.952380952380954,0.28801843317972353,83.33333333333336
10,5,15,186,18.6,10,20,4,206,13.733333333333333,4.866666666666669,0.2616487455197134,73.00000000000003
5,1,6,186,37.2,15,30,30,216,36,1.2000000000000028,0.032258064516129115,7.200000000000017
6,1,7,186,31,15,30,30,216,30.857142857142858,0.14285714285714235,0.004608294930875556,0.9999999999999964
7,1,8,186,26.571428571428573,15,30,30,216,27,-0.42857142857142705,-0.016129032258064502,-3.4285714285714164
8,1,9,186,23.25,15,30,30,216,24,-0.75,-0.032258064516129004,-6.75
9,1,10,186,20.666666666666668,15,30,30,216,21.6,-0.9333333333333336,-0.04516129032258065,-9.333333333333336
10,1,11,186,18.6,15,30,30,216,19.636363636363637,-1.0363636363636353,-0.055718475073313734,-11.399999999999988
5,2,7,186,37.2,15,30,15,216,30.857142857142858,6.342857142857145,0.17050691244239635,44.40000000000002
6,2,8,186,31,15,30,15,216,27,4,0.12903225806451613,32
